epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,36.2473,1.57234,1.91059,1.87172,0.01593,0.16022,0.00791,0.00209,3.26564,43.0041,7.99382,0.00065625,0.00065625,0.00065625
2,72.4255,1.8011,2.14456,2.06641,0.06406,0.35912,0.05574,0.01442,2.77364,30.2763,4.88167,0.00130109,0.00130109,0.00130109
3,114.59,1.85751,2.24459,2.10531,0.01334,0.07735,0.00563,0.00139,3.14064,17.6692,5.339,0.00192393,0.00192393,0.00192393
4,153.003,1.83114,2.25467,2.1031,0.12165,0.1768,0.07182,0.02238,2.25789,4.78821,2.86818,0.001901,0.001901,0.001901
5,190.557,1.77035,2.22275,2.07965,0.31322,0.22426,0.14227,0.05122,2.76594,3.34163,3.087,0.001868,0.001868,0.001868
6,234.016,1.74737,2.1026,1.99363,0.41869,0.39779,0.37995,0.15595,1.98228,2.57302,2.30785,0.001835,0.001835,0.001835
7,276.537,1.70436,2.06317,1.98872,0.63845,0.46409,0.55086,0.26258,1.78701,1.88061,2.10459,0.001802,0.001802,0.001802
8,319.763,1.65856,2.06034,1.94027,0.37224,0.53591,0.36397,0.15587,1.7915,2.2036,2.22407,0.001769,0.001769,0.001769
9,357.716,1.63585,1.97037,1.91349,0.59089,0.56906,0.56272,0.30747,1.42211,2.02949,1.81742,0.001736,0.001736,0.001736
10,399.799,1.59591,1.98325,1.89945,0.58631,0.44751,0.49278,0.23214,1.53618,1.8779,1.93944,0.001703,0.001703,0.001703
11,437.744,1.58823,1.93813,1.87028,0.79442,0.56906,0.69565,0.33406,1.61371,1.72502,1.93355,0.00167,0.00167,0.00167
12,479.434,1.55001,1.81192,1.83078,0.71832,0.64641,0.63737,0.3491,1.48121,1.56558,1.79666,0.001637,0.001637,0.001637
13,523.383,1.54627,1.82104,1.83516,0.65405,0.5536,0.60623,0.34007,1.35739,1.72635,1.75213,0.001604,0.001604,0.001604
14,561.055,1.53109,1.83863,1.80542,0.55844,0.51934,0.54219,0.25184,1.67764,1.90922,2.04783,0.001571,0.001571,0.001571
15,598.889,1.4872,1.80231,1.79724,0.64992,0.60773,0.66625,0.37631,1.36915,1.55148,1.73002,0.001538,0.001538,0.001538
16,637.046,1.48741,1.75203,1.78295,0.53494,0.66093,0.60464,0.31113,1.52536,1.93638,1.82365,0.001505,0.001505,0.001505
17,674.538,1.45788,1.68535,1.74495,0.72971,0.61878,0.68856,0.36838,1.4106,1.55149,1.77235,0.001472,0.001472,0.001472
18,712.238,1.45172,1.67214,1.74271,0.72377,0.60773,0.72457,0.43648,1.25938,1.39017,1.61912,0.001439,0.001439,0.001439
19,756.438,1.46154,1.66322,1.74459,0.73138,0.60221,0.66722,0.35474,1.51232,1.66527,1.82135,0.001406,0.001406,0.001406
20,793.958,1.42266,1.63669,1.7239,0.67619,0.62431,0.65587,0.41363,1.1611,1.33207,1.53883,0.001373,0.001373,0.001373
21,831.522,1.38974,1.57644,1.69226,0.67846,0.56354,0.63574,0.33552,1.37531,1.55559,1.75816,0.00134,0.00134,0.00134
22,869.262,1.38504,1.59447,1.69241,0.67994,0.61033,0.63749,0.39211,1.31123,1.37427,1.71385,0.001307,0.001307,0.001307
23,906.62,1.37574,1.53837,1.67851,0.82425,0.62983,0.73608,0.44136,1.27262,1.34938,1.63857,0.001274,0.001274,0.001274
24,951.007,1.36834,1.51927,1.68047,0.71333,0.70166,0.76579,0.45329,1.27215,1.2799,1.6317,0.001241,0.001241,0.001241
25,994.589,1.3449,1.5031,1.66832,0.74528,0.69061,0.74933,0.5006,1.07011,1.16396,1.47615,0.001208,0.001208,0.001208
26,1032.69,1.33424,1.47672,1.66963,0.76823,0.69061,0.7846,0.5174,1.12724,1.11908,1.51857,0.001175,0.001175,0.001175
27,1076.3,1.32174,1.46659,1.63873,0.76561,0.71271,0.76414,0.52072,1.09951,1.12559,1.50308,0.001142,0.001142,0.001142
28,1115.32,1.31679,1.41687,1.64268,0.647,0.64808,0.65977,0.42588,1.20626,1.36066,1.60909,0.001109,0.001109,0.001109
29,1152.84,1.32212,1.44259,1.63515,0.71721,0.69061,0.73378,0.45996,1.12535,1.22765,1.52052,0.001076,0.001076,0.001076
30,1190.78,1.2954,1.42861,1.63767,0.81629,0.75691,0.82791,0.52297,1.23438,1.09206,1.58302,0.001043,0.001043,0.001043
31,1228.77,1.28838,1.38712,1.62416,0.8161,0.67403,0.79066,0.49214,1.30413,1.2789,1.63047,0.00101,0.00101,0.00101
32,1266.4,1.30429,1.40885,1.63221,0.79474,0.66315,0.74489,0.50688,1.00255,1.08857,1.45423,0.000977,0.000977,0.000977
33,1304.16,1.2579,1.33444,1.60226,0.72665,0.70166,0.78005,0.54588,0.99315,0.97506,1.43264,0.000944,0.000944,0.000944
34,1346.16,1.22927,1.30712,1.57833,0.77682,0.69061,0.79808,0.54774,1.03234,1.01494,1.43624,0.000911,0.000911,0.000911
35,1390.22,1.20954,1.27369,1.56427,0.78501,0.65746,0.77307,0.53042,1.07224,1.03984,1.4776,0.000878,0.000878,0.000878
36,1427.68,1.23741,1.29173,1.58764,0.79323,0.70166,0.78229,0.52434,1.12176,1.03327,1.55886,0.000845,0.000845,0.000845
37,1465.48,1.20964,1.25548,1.55679,0.82059,0.70757,0.83213,0.59637,1.02063,0.91298,1.43143,0.000812,0.000812,0.000812
38,1508.22,1.18623,1.23847,1.53628,0.79968,0.72376,0.82194,0.59245,1.00368,0.94099,1.42341,0.000779,0.000779,0.000779
39,1546.15,1.17007,1.20151,1.52262,0.75667,0.75691,0.8112,0.56678,1.00753,0.94525,1.44973,0.000746,0.000746,0.000746
40,1583.6,1.1558,1.20288,1.52019,0.75719,0.67192,0.76767,0.55656,0.9935,0.93566,1.4309,0.000713,0.000713,0.000713
41,1621.49,1.14497,1.17822,1.51376,0.81359,0.74753,0.8373,0.59372,0.96241,0.84585,1.42349,0.00068,0.00068,0.00068
42,1659.25,1.14995,1.19427,1.52378,0.87039,0.72376,0.87362,0.6038,0.99745,0.88173,1.43365,0.000647,0.000647,0.000647
43,1702.65,1.13801,1.16732,1.50592,0.805,0.74033,0.82468,0.58008,0.96285,0.86115,1.41891,0.000614,0.000614,0.000614
44,1740.58,1.11805,1.14371,1.49301,0.70144,0.79006,0.80615,0.5801,1.02796,0.90066,1.45453,0.000581,0.000581,0.000581
45,1778.6,1.11718,1.11267,1.47927,0.79545,0.73481,0.78098,0.55092,1.03999,0.92971,1.45779,0.000548,0.000548,0.000548
46,1816.34,1.10308,1.09674,1.47792,0.79559,0.8011,0.84178,0.5912,0.92731,0.80995,1.3781,0.000515,0.000515,0.000515
47,1854.21,1.08658,1.08248,1.46077,0.83216,0.76698,0.84458,0.57785,1.03323,0.85319,1.43846,0.000482,0.000482,0.000482
48,1892.24,1.08992,1.06556,1.4676,0.75866,0.77901,0.77463,0.5579,0.89168,0.87429,1.38388,0.000449,0.000449,0.000449
49,1929.86,1.09515,1.06898,1.47076,0.85802,0.74033,0.83586,0.58522,0.90649,0.82434,1.36148,0.000416,0.000416,0.000416
50,1967.67,1.08531,1.05763,1.46307,0.89024,0.74033,0.84086,0.61677,0.90647,0.81864,1.34049,0.000383,0.000383,0.000383
51,2010.94,0.93562,0.81885,1.44985,0.86018,0.72928,0.84885,0.64344,0.89455,0.79227,1.35389,0.00035,0.00035,0.00035
52,2048.96,0.92547,0.73191,1.42437,0.81048,0.74586,0.83321,0.61782,0.88138,0.79614,1.36163,0.000317,0.000317,0.000317
